gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,work_phone,phone,email,occyp_type,family_size,begin_month,credit
M,N,N,0,270000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,20770,623,1,0,0,Cooking staff,2.0,22.0,2.0
M,Y,Y,0,225000.0,Working,Higher education,Married,Rented apartment,15317,1656,0,0,0,High skill tech staff,2.0,18.0,2.0
M,Y,Y,0,247500.0,State servant,Higher education,Single / not married,House / apartment,10012,826,1,1,0,High skill tech staff,1.0,23.0,2.0
F,Y,N,1,81000.0,Working,Secondary / secondary special,Married,House / apartment,15062,2014,1,0,0,unknown,3.0,0.0,0.0
M,N,N,1,135000.0,Working,Secondary / secondary special,Married,Office apartment,15520,2664,0,0,0,Security staff,3.0,31.0,2.0
F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,22062,0,0,1,0,unknown,1.0,44.0,2.0
F,N,N,2,180000.0,Working,Higher education,Married,House / apartment,11905,1700,0,0,0,High skill tech staff,4.0,38.0,1.0
M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,Office apartment,14917,8157,1,1,0,Drivers,2.0,34.0,2.0
M,N,N,0,112500.0,Working,Secondary / secondary special,Separated,House / apartment,20933,673,0,1,0,Drivers,1.0,10.0,0.0
F,N,Y,2,202500.0,Working,Secondary / secondary special,Married,Municipal apartment,11468,4448,0,0,0,Laborers,4.0,47.0,2.0
M,Y,N,0,157500.0,Working,Secondary / secondary special,Married,Rented apartment,12374,307,1,1,0,Core staff,2.0,1.0,1.0
F,N,Y,0,211500.0,Working,Secondary / secondary special,Married,House / apartment,16692,1901,0,0,0,Sales staff,2.0,4.0,2.0
F,N,Y,0,126000.0,Pensioner,Secondary / secondary special,Married,House / apartment,20681,0,0,0,0,unknown,2.0,26.0,2.0
M,Y,N,2,171000.0,Working,Secondary / secondary special,Married,With parents,11301,2250,1,0,0,Laborers,4.0,47.0,1.0
F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,21833,0,0,0,0,unknown,2.0,52.0,0.0
F,N,Y,0,135000.0,Working,Higher education,Married,House / apartment,22919,2013,0,0,0,Laborers,2.0,52.0,2.0
F,N,N,0,135000.0,State servant,Higher education,Married,House / apartment,18197,4418,1,0,0,Accountants,2.0,16.0,2.0
M,Y,Y,0,103500.0,Working,Secondary / secondary special,Single / not married,House / apartment,15389,607,0,0,0,Laborers,1.0,27.0,2.0
M,Y,N,2,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,11425,4625,1,0,0,Laborers,4.0,57.0,2.0
F,N,N,0,144000.0,Working,Secondary / secondary special,Married,House / apartment,19984,4662,0,1,0,unknown,2.0,21.0,2.0
M,Y,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,17262,1617,0,0,0,Core staff,2.0,46.0,2.0
F,N,Y,0,121500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,12863,464,1,1,0,Cooking staff,2.0,13.0,1.0
F,N,N,1,144000.0,Commercial associate,Higher education,Married,House / apartment,12753,1315,1,1,0,unknown,3.0,53.0,2.0
F,N,N,0,144000.0,Working,Secondary / secondary special,Married,House / apartment,19984,4662,0,1,0,unknown,2.0,6.0,2.0
F,N,Y,0,103500.0,Commercial associate,Higher education,Married,House / apartment,18826,837,0,0,0,Cleaning staff,2.0,21.0,0.0
F,N,N,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,20046,3503,0,0,0,Sales staff,2.0,12.0,2.0
F,N,Y,2,270000.0,Working,Secondary / secondary special,Married,House / apartment,12927,2078,1,1,1,Managers,4.0,15.0,2.0
M,N,Y,0,337500.0,Working,Secondary / secondary special,Married,House / apartment,20562,2178,0,0,0,Drivers,2.0,29.0,2.0
M,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,19685,0,0,0,0,unknown,2.0,31.0,0.0
M,Y,Y,2,254700.0,Commercial associate,Secondary / secondary special,Married,House / apartment,17254,9131,0,1,0,Laborers,4.0,41.0,0.0
M,N,Y,0,148500.0,Working,Secondary / secondary special,Married,House / apartment,11963,3246,0,0,0,Laborers,2.0,15.0,2.0
F,N,Y,1,270000.0,Working,Higher education,Married,House / apartment,13749,2877,1,1,0,Managers,3.0,4.0,1.0
F,N,Y,1,67500.0,Commercial associate,Higher education,Married,House / apartment,8520,133,0,0,0,unknown,3.0,21.0,1.0
M,Y,N,0,63000.0,Working,Secondary / secondary special,Married,House / apartment,18858,1614,1,1,0,Drivers,2.0,16.0,2.0
F,N,Y,0,67500.0,Pensioner,Secondary / secondary special,Married,House / apartment,20900,0,0,1,0,unknown,2.0,8.0,1.0
F,Y,N,0,315000.0,Working,Higher education,Married,Co-op apartment,13064,2286,1,0,0,Medicine staff,2.0,33.0,2.0
F,N,Y,0,67500.0,Working,Secondary / secondary special,Single / not married,House / apartment,9062,1155,0,0,0,Laborers,1.0,9.0,2.0
F,N,Y,1,265500.0,Commercial associate,Higher education,Married,House / apartment,12022,4081,0,0,0,Managers,3.0,57.0,2.0
F,N,Y,0,72000.0,Working,Secondary / secondary special,Widow,House / apartment,19923,2078,1,1,0,Cleaning staff,1.0,23.0,1.0
F,N,Y,0,630000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,21982,0,0,1,0,unknown,1.0,8.0,2.0
F,N,Y,0,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,19482,2878,0,0,0,Laborers,2.0,10.0,1.0
M,N,Y,0,135000.0,Working,Secondary / secondary special,Single / not married,With parents,11344,1054,0,0,0,Drivers,1.0,10.0,0.0
F,Y,N,0,315000.0,Working,Secondary / secondary special,Married,House / apartment,19441,4064,0,0,0,Managers,2.0,22.0,2.0
F,N,N,0,90000.0,Working,Secondary / secondary special,Single / not married,With parents,10097,3052,0,0,0,Laborers,1.0,25.0,1.0
M,Y,N,0,99000.0,Pensioner,Higher education,Married,House / apartment,24189,0,0,1,0,unknown,2.0,26.0,2.0
F,N,N,0,36000.0,Working,Secondary / secondary special,Separated,Municipal apartment,14846,154,1,0,0,Cleaning staff,1.0,53.0,0.0
F,N,N,0,211500.0,Working,Secondary / secondary special,Married,House / apartment,17249,1661,1,1,0,unknown,2.0,27.0,2.0
F,Y,N,0,337500.0,Working,Secondary / secondary special,Single / not married,House / apartment,9766,303,1,0,1,unknown,1.0,14.0,2.0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,15519,3234,0,0,0,Laborers,1.0,27.0,1.0
F,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,10535,3819,1,1,0,Laborers,2.0,8.0,2.0
M,Y,Y,1,180000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,15127,5776,0,0,0,unknown,3.0,37.0,0.0
F,N,Y,0,112500.0,Working,Higher education,Married,With parents,9310,825,0,0,0,Core staff,2.0,5.0,2.0
M,Y,N,2,270000.0,Working,Secondary / secondary special,Married,House / apartment,15207,3201,0,0,0,Core staff,4.0,21.0,2.0
F,N,N,2,99000.0,State servant,Secondary / secondary special,Married,House / apartment,14360,4660,0,1,1,Cleaning staff,4.0,37.0,2.0
F,N,N,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,17614,4219,0,0,0,Sales staff,2.0,31.0,2.0
M,Y,Y,0,189000.0,Working,Secondary / secondary special,Married,House / apartment,15906,1881,0,0,0,High skill tech staff,2.0,43.0,2.0
F,N,Y,0,135000.0,Working,Higher education,Single / not married,House / apartment,9100,1133,0,0,0,Managers,1.0,35.0,1.0
M,N,N,0,157500.0,Commercial associate,Higher education,Civil marriage,House / apartment,9361,164,1,0,0,Waiters/barmen staff,2.0,27.0,0.0
F,N,Y,1,157500.0,Working,Secondary / secondary special,Married,Municipal apartment,11087,473,0,0,0,Cleaning staff,3.0,7.0,2.0
F,N,Y,0,90000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,19791,3172,0,1,0,unknown,1.0,25.0,0.0
F,N,Y,1,198000.0,Working,Secondary / secondary special,Single / not married,House / apartment,18530,1596,1,1,0,Private service staff,2.0,34.0,2.0
F,Y,Y,0,144000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,12116,2714,1,1,0,Drivers,2.0,1.0,1.0
F,N,Y,0,180000.0,Working,Secondary / secondary special,Widow,House / apartment,17725,1783,0,0,0,Accountants,1.0,47.0,2.0
F,N,Y,0,40500.0,Working,Secondary / secondary special,Married,House / apartment,12729,4936,1,0,0,Cleaning staff,2.0,42.0,2.0
F,N,Y,1,90000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,8993,152,1,0,0,Medicine staff,3.0,17.0,2.0
F,Y,Y,0,202500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,18626,1332,0,0,0,Security staff,2.0,14.0,2.0
F,N,Y,0,202500.0,Pensioner,Secondary / secondary special,Married,House / apartment,21343,0,0,0,0,unknown,2.0,51.0,1.0
F,Y,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,10564,897,1,1,0,Core staff,2.0,32.0,1.0
F,N,Y,0,288000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,21788,0,0,1,0,unknown,1.0,13.0,2.0
F,Y,Y,2,450000.0,Commercial associate,Higher education,Married,House / apartment,15137,2734,0,1,0,unknown,4.0,8.0,0.0
M,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,14362,288,1,1,0,Laborers,2.0,27.0,2.0
M,Y,N,0,270000.0,Working,Incomplete higher,Married,House / apartment,11172,3504,0,0,0,Laborers,2.0,56.0,2.0
M,Y,Y,0,369000.0,Working,Secondary / secondary special,Married,House / apartment,16981,1246,0,0,0,Drivers,2.0,13.0,2.0
M,Y,N,0,360000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,15203,2068,1,0,0,Laborers,1.0,40.0,1.0
F,N,N,0,180000.0,State servant,Secondary / secondary special,Widow,House / apartment,18181,351,1,1,0,Laborers,1.0,51.0,2.0
F,N,Y,0,130500.0,Working,Secondary / secondary special,Married,House / apartment,13520,5488,0,0,0,Core staff,2.0,33.0,2.0
M,Y,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,23287,0,0,0,0,unknown,2.0,34.0,2.0
F,N,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,12847,1111,1,1,0,Sales staff,3.0,12.0,2.0
